10I4842000 : [35.3, 32100, 0, 32100, ('shyc08', '600141'), 1]
所有委托数据-- 10I4842321 : [13.08, 4100, 0, 4100, ('szyc08', '000625'), 1]
所有委托数据-- 10I4842322 : [10.45, 1400, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842323 : [15.06, 600, 600, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842324 : [12.59, 500, 500, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842325 : [5.91, 54400, 0, 54400, ('szyc08', '300510'), 2]
所有委托数据-- 10I4842326 : [30.61, 500, 500, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842327 : [34.25, 400, 400, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842328 : [13.08, 8300, 0, 8300, ('szyc08', '000625'), 1]
所有委托数据-- 10I4842329 : [10.45, 600, 600, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842330 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842331 : [5.91, 54400, 0, 54400, ('szyc08', '300510'), 2]
所有委托数据-- 10I4842332 : [34.25, 1300, 0, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842333 : [30.61, 900, 900, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842334 : [13.9, 600, 600, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842338 : [10.45, 700, 700, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842339 : [15.06, 14300, 0, 14300, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842340 : [12.59, 900, 900, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842341 : [20.28, 1000, 1000, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842342 : [34.25, 1100, 0, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842343 : [30.61, 600, 600, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842344 : [15.06, 2100, 0, 2100, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842345 : [5.91, 54400, 0, 54400, ('szyc08', '300510'), 2]
所有委托数据-- 10I4842346 : [34.25, 100, 100, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842347 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842348 : [10.45, 500, 500, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842349 : [15.06, 800, 800, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842350 : [12.59, 800, 800, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842351 : [5.91, 9300, 0, 9300, ('szyc08', '300510'), 2]
所有委托数据-- 10I4842352 : [30.61, 500, 500, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842353 : [34.25, 200, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842354 : [15.06, 10300, 0, 10300, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842355 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842356 : [34.25, 400, 400, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842357 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842358 : [20.28, 900, 900, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842359 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842360 : [30.61, 800, 800, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842361 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842364 : [12.59, 700, 700, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842365 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842366 : [34.25, 400, 400, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842367 : [10.45, 500, 500, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842368 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842369 : [30.61, 1100, 0, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842370 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842371 : [15.06, 11900, 0, 11900, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842372 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842373 : [30.61, 800, 800, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842374 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842375 : [15.06, 3600, 0, 3600, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842376 : [10.45, 700, 700, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842377 : [12.59, 500, 500, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842378 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842379 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842380 : [34.25, 600, 600, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842381 : [10.45, 9800, 0, 9800, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842382 : [30.61, 500, 500, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842383 : [34.25, 500, 500, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842385 : [10.45, 1000, 1000, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842386 : [12.59, 700, 700, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842387 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842388 : [34.25, 800, 800, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842389 : [30.61, 1100, 0, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842390 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842391 : [15.06, 9500, 0, 9500, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842392 : [30.61, 300, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842393 : [34.25, 600, 600, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842394 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842395 : [15.06, 2900, 0, 2900, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842396 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842397 : [34.25, 400, 400, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842398 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842399 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842400 : [10.45, 300, 200, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842401 : [15.06, 800, 800, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842402 : [30.61, 300, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842403 : [34.25, 500, 500, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842404 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842405 : [34.25, 200, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842406 : [30.61, 100, 100, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842407 : [10.45, 400, 400, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842408 : [34.25, 600, 600, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842409 : [30.61, 300, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842410 : [13.9, 500, 500, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842411 : [12.59, 400, 400, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842412 : [34.25, 700, 700, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842413 : [30.61, 100, 100, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842414 : [13.9, 600, 600, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842415 : [15.06, 8800, 0, 8800, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842416 : [12.59, 800, 800, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842417 : [30.61, 300, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842418 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842419 : [15.06, 2600, 0, 2600, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842420 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842421 : [34.25, 1100, 0, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842422 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842423 : [30.61, 900, 900, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842425 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842426 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842427 : [34.25, 200, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842428 : [30.61, 1000, 1000, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842429 : [10.45, 900, 900, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842430 : [12.59, 400, 400, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842431 : [30.61, 900, 900, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842432 : [34.25, 400, 400, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842433 : [13.9, 500, 500, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842434 : [12.59, 1400, 0, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842435 : [30.61, 600, 600, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842436 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842437 : [9.78, 11600, 0, 11600, ('szyc08', '000848'), 1]
所有委托数据-- 10I4842438 : [10.45, 800, 800, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842439 : [30.61, 300, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842440 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842441 : [12.59, 800, 800, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842442 : [30.61, 700, 700, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842443 : [34.25, 1600, 0, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842444 : [10.45, 500, 500, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842445 : [12.59, 700, 700, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842446 : [34.25, 900, 900, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842447 : [30.61, 300, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842448 : [13.9, 400, 400, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842449 : [10.45, 300, 200, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842450 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842451 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842452 : [34.25, 700, 700, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842453 : [30.61, 1000, 1000, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842454 : [9.78, 20000, 0, 20000, ('szyc08', '000848'), 1]
所有委托数据-- 10I4842455 : [10.45, 1500, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842456 : [34.25, 400, 400, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842457 : [30.61, 100, 100, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842458 : [10.45, 400, 400, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842459 : [12.59, 1600, 0, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842460 : [34.25, 500, 500, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842461 : [30.61, 100, 100, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842462 : [10.45, 900, 900, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842463 : [15.06, 3200, 0, 3200, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842464 : [30.61, 100, 100, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842465 : [34.25, 100, 100, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842466 : [13.9, 400, 400, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842469 : [22.96, 100, 100, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842470 : [10.45, 400, 400, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842471 : [12.59, 2700, 0, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842472 : [30.61, 100, 100, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842473 : [34.25, 600, 600, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842474 : [13.9, 1100, 0, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842475 : [22.96, 1000, 1000, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842476 : [15.06, 3700, 0, 3700, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842477 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842478 : [30.61, 300, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842479 : [34.25, 200, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842480 : [22.96, 3100, 0, 3100, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842481 : [12.59, 700, 700, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842482 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842483 : [30.61, 200, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842484 : [34.25, 500, 500, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842485 : [22.96, 5500, 0, 5500, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842486 : [10.45, 400, 400, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842487 : [30.61, 600, 600, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842488 : [34.25, 400, 400, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842489 : [22.96, 2900, 0, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842490 : [15.06, 500, 500, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842491 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842492 : [34.25, 200, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842493 : [30.61, 500, 500, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842494 : [17.65, 8000, 0, 8000, ('szyc08', '300340'), 2]
所有委托数据-- 10I4842495 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842496 : [22.96, 2000, 0, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842497 : [10.45, 1300, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842498 : [15.06, 900, 900, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842499 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842500 : [34.25, 900, 900, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842501 : [13.9, 1400, 0, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842502 : [22.96, 2100, 0, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842503 : [10.45, 500, 500, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842504 : [15.06, 400, 400, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842505 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842506 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842507 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842508 : [22.96, 10500, 0, 10500, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842509 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842510 : [34.25, 700, 700, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842511 : [22.96, 600, 600, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842512 : [10.45, 300, 200, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842513 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842514 : [30.61, 500, 500, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842515 : [34.25, 300, 200, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842516 : [12.35, 100, 100, 0, ('shyc08', '600348'), 1]
所有委托数据-- 10I4842517 : [22.96, 800, 800, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842518 : [15.06, 4700, 0, 4700, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842519 : [30.61, 800, 800, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842520 : [34.25, 1400, 0, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842521 : [12.35, 20000, 0, 20000, ('shyc08', '600348'), 1]
所有委托数据-- 10I4842524 : [22.96, 400, 400, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842525 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842526 : [10.45, 300, 200, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842527 : [15.06, 1200, 0, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842528 : [30.61, 800, 800, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842529 : [34.25, 1200, 0, 0, ('szyc08', '300655'), 1]
所有委托数据-- 10I4842530 : [12.35, 20000, 0, 20000, ('shyc08', '600348'), 1]
所有委托数据-- 10I4842531 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842532 : [22.96, 3400, 0, 3400, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842533 : [15.06, 4800, 0, 4800, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842534 : [30.61, 200, 200, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842535 : [12.35, 20000, 0, 20000, ('shyc08', '600348'), 1]
所有委托数据-- 10I4842536 : [22.96, 200, 200, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842537 : [15.06, 1400, 0, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842538 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842539 : [30.61, 2500, 0, 2500, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842540 : [13.9, 400, 400, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842541 : [12.35, 19500, 0, 19500, ('shyc08', '600348'), 1]
所有委托数据-- 10I4842542 : [22.96, 700, 700, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842543 : [15.06, 400, 400, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842544 : [10.45, 1000, 1000, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842545 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842546 : [30.61, 300, 200, 100, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842547 : [8.72, 30000, 0, 30000, ('shyc08', '601828'), 1]
所有委托数据-- 10I4842548 : [22.96, 4400, 0, 4400, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842549 : [10.45, 2100, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842550 : [15.06, 1600, 0, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842551 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842552 : [30.61, 3000, 0, 3000, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842557 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842558 : [22.96, 900, 900, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842559 : [10.45, 1900, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842560 : [15.06, 400, 400, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842561 : [30.61, 900, 900, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842562 : [22.96, 1800, 0, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842563 : [15.06, 4300, 0, 4300, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842564 : [30.61, 4900, 0, 4900, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842565 : [13.9, 800, 800, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842566 : [22.96, 3500, 0, 3500, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842567 : [30.61, 3700, 0, 3700, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842568 : [13.9, 700, 700, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842569 : [22.96, 3600, 0, 3600, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842570 : [12.59, 400, 400, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842571 : [30.61, 500, 500, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842572 : [22.96, 1100, 0, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842573 : [10.45, 300, 200, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842574 : [15.06, 2500, 0, 2500, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842575 : [30.61, 4000, 0, 4000, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842576 : [22.96, 500, 500, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842582 : [10.45, 1200, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842583 : [12.59, 500, 500, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842584 : [30.61, 800, 800, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842585 : [22.96, 600, 600, 0, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842586 : [10.45, 500, 500, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842587 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842588 : [30.61, 4800, 0, 4800, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842589 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842590 : [13.9, 500, 500, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842591 : [22.96, 8300, 0, 8300, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842592 : [10.45, 500, 500, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842593 : [15.06, 1300, 0, 1300, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842594 : [30.61, 1000, 1000, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842595 : [22.96, 7900, 0, 7900, ('shyc08', '603115'), 1]
所有委托数据-- 10I4842596 : [10.45, 400, 400, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842597 : [15.06, 600, 600, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842598 : [12.59, 300, 200, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842599 : [30.61, 800, 800, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842600 : [10.45, 700, 700, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842601 : [15.06, 3200, 0, 3200, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842602 : [30.61, 1000, 1000, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842603 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842605 : [10.45, 1100, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842606 : [12.59, 1100, 0, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842607 : [30.61, 1900, 0, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842608 : [15.06, 7800, 0, 7800, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842609 : [12.59, 600, 600, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842610 : [30.61, 800, 800, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842611 : [10.45, 4400, 0, 4400, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842612 : [15.06, 2400, 0, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842613 : [30.61, 400, 400, 0, ('szyc08', '300639'), 1]
所有委托数据-- 10I4842614 : [13.9, 800, 800, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842615 : [10.45, 600, 600, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842616 : [15.06, 400, 400, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842617 : [12.59, 400, 400, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842618 : [20.28, 200, 200, 0, ('szyc08', '002816'), 1]
所有委托数据-- 10I4842619 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842620 : [10.45, 700, 700, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842621 : [15.06, 3800, 0, 3800, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842622 : [12.59, 1000, 1000, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842624 : [10.45, 400, 400, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842625 : [15.06, 2000, 0, 2000, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842626 : [12.59, 800, 800, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842627 : [10.45, 300, 200, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842628 : [13.9, 300, 200, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842629 : [10.45, 1200, 0, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842630 : [12.59, 900, 900, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842631 : [10.45, 600, 600, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842632 : [15.06, 2000, 0, 2000, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842633 : [13.9, 1000, 1000, 0, ('shyc08', '600458'), 1]
所有委托数据-- 10I4842634 : [10.45, 400, 400, 0, ('szyc08', '002126'), 1]
所有委托数据-- 10I4842635 : [15.06, 600, 600, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842636 : [17.65, 100, 100, 0, ('szyc08', '300340'), 1]
所有委托数据-- 10I4842637 : [12.35, 100, 100, 0, ('shyc08', '600348'), 1]
所有委托数据-- 10I4842638 : [15.06, 200, 200, 0, ('szyc08', '002213'), 1]
所有委托数据-- 10I4842639 : [12.59, 400, 400, 0, ('szyc08', '002286'), 1]
所有委托数据-- 10I4842640 : [17.65, 20000, 0, 20000, ('szyc08', '300340'), 1]
所有委托数据-- 10I4842641 : [12.35, 20000, 0, 20000, ('shyc08', '600348'), 1]
